timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
46,reactive,64.0,16384.0,50944.0,512.0,292.7816091954023,25,13,8.0,21.0,512.0,2,53248.0
47,reactive,64.0,16384.0,49408.0,768.0,290.63529411764705,1,13,12.0,25.0,2048.0,5,53504.0
48,reactive,64.0,16384.0,51712.0,768.0,295.4971428571429,2,12,12.0,24.0,0.0,0,54784.0
49,reactive,64.0,16384.0,52480.0,768.0,296.49717514124296,1,12,12.0,24.0,0.0,0,55552.0
50,reactive,64.0,16384.0,54784.0,768.0,313.0514285714286,3,13,12.0,25.0,2048.0,5,58880.0
51,reactive,64.0,16384.0,55808.0,768.0,318.90285714285716,2,14,12.0,26.0,4096.0,4,60928.0
52,reactive,64.0,16384.0,58624.0,768.0,316.8864864864865,2,14,12.0,26.0,0.0,0,61696.0
53,reactive,64.0,16384.0,58112.0,768.0,319.2967032967033,2,14,12.0,26.0,1024.0,2,61696.0
54,reactive,64.0,16384.0,57856.0,768.0,319.646408839779,2,14,12.0,26.0,512.0,2,61184.0
55,reactive,64.0,16384.0,55040.0,768.0,316.32183908045977,2,11,12.0,23.0,10240.0,8,63232.0
56,reactive,64.0,16384.0,54016.0,512.0,319.6213017751479,42,11,8.0,19.0,6656.0,7,59392.0
57,reactive,64.0,16384.0,54528.0,768.0,326.5149700598802,1,10,12.0,22.0,1536.0,6,58368.0
58,reactive,64.0,16384.0,54272.0,768.0,324.9820359281437,4,10,12.0,22.0,0.0,0,57344.0
59,reactive,64.0,16384.0,56064.0,768.0,333.7142857142857,4,10,12.0,22.0,0.0,0,59136.0
60,reactive,64.0,16384.0,53760.0,768.0,321.91616766467064,2,11,12.0,23.0,4608.0,8,59136.0
61,reactive,64.0,16384.0,53248.0,768.0,322.7151515151515,2,11,12.0,23.0,512.0,2,56576.0
62,reactive,64.0,16384.0,51456.0,512.0,325.67088607594934,43,11,8.0,19.0,3072.0,9,55040.0
63,reactive,64.0,16384.0,51968.0,768.0,335.2774193548387,3,11,12.0,23.0,512.0,2,55296.0
64,reactive,64.0,16384.0,51712.0,768.0,331.4871794871795,2,11,12.0,23.0,0.0,0,54784.0
65,reactive,64.0,16384.0,50688.0,768.0,333.4736842105263,2,11,12.0,23.0,512.0,2,54016.0
66,reactive,64.0,16384.0,54528.0,768.0,342.9433962264151,1,11,12.0,23.0,0.0,0,57600.0
67,reactive,64.0,16384.0,54528.0,768.0,342.9433962264151,1,11,12.0,23.0,0.0,0,57600.0
68,reactive,64.0,16384.0,52736.0,768.0,333.7721518987342,1,11,12.0,23.0,5120.0,12,58368.0
69,reactive,64.0,16384.0,53248.0,768.0,337.0126582278481,2,11,12.0,23.0,0.0,0,56320.0
70,reactive,64.0,16384.0,55040.0,768.0,335.609756097561,1,11,12.0,23.0,0.0,0,58112.0
